id,addr:city,cuisine,name,opening_hours,website,internet_access,phone,email,smoking,lon,lat
309894643,Скопје,italian,Пелистер,Mo-Th 07:00-00:00; Fr-Sa 07:00-01:00; Su 10:30-00:00,https://www.pelisterhotel.com.mk/,,,,,21.4315704,41.9953933
382645252,,,Brioni,,,,,,,22.0215553,41.4347276
386705447,,,Ramazzoti,,,,,,,22.0115107,41.4412063
386705584,,,Exclusive,,,,,,,22.0096102,41.4410295
393755446,,fish;grill,Фук Так,,,wlan,,,,22.7220346,41.1844141
411006922,,,Интермецо,,,,,,,21.4140669,41.9947432
411634092,,italian_pizza;regional;balkan,Скар,,,wlan,,,,21.2485747,41.368101
411634094,,,Бенетон,,,,,,,21.2486257,41.3681312
414619170,,chicken;diner;regional;pancake;sausage;coffee_shop;ice_cream;balkan;mediterranean;burger;fish;breakfast;grill,Cardak,Mo-Su 08:00-02:00,,wlan,+389 78 420 959,,,21.2151321,41.5065603
414619172,,,Lisec,,,,,,,21.2177087,41.5075223
419115353,,fish,Пешна,,www.pesnamotel.com.mk,,,pesnamotel@yahoo.com,,21.2442677,41.541066
419829216,,,Kico,,,,,,,22.0111128,41.4412564
419829221,,,Riben restorant,,,,,,,22.0135418,41.4407867
419829868,,regional,Aleksandrija,,,,,,,22.0116142,41.4331716
423804306,,,Kaj Mame,,,,,,,21.2160292,41.5081589
427013440,,,Spandja,,,,,,,22.0121336,41.4411582
429175192,,,Журнал,,,,,,,21.4438183,41.9768256
442545329,,,Пролет,,,,,,,22.4125757,41.9153534
444360934,,regional,Гратче,,,,,,,22.4062744,41.9596507
444695321,,regional,Тополник,,,,,,,22.4078181,41.9561396
444695367,,,Ribnik Blatec,,,,,,,22.6230389,41.8339517
445422613,,steak_house,Hunter’s Lodge “Kamnik”,,http://www.kamnik.com.mk/,,,,,21.4871217,42.0072516
459668143,,,Под Кале,,,,,,,21.4307036,42.0047876
459668914,,italian,Кај Џино,"Mo 08:00-24:00; Tu-Fr 09:00-23:00; Su 09:00-01:00",,,,,,21.4342799,41.9943261
459669063,Cкoпje,latin_american,Плаза де Торос,,,,,,,21.4350117,41.9952456
461655652,,,Luna 2,,,,,,,22.6502444,41.4392415
477689620,,regional,Rubiko,,,,,,,22.0953457,41.4895975
477689674,,regional,Kaj Zika,,,,,,,21.9522494,41.5237914
478041022,,regional,Makedonska Kuka,,,,,,,22.0136796,41.4337258
481098096,,italian,Енрико,,,,,,,21.3995191,42.0031464
497549476,,,Мило,,,,,,,22.8645,41.69802
497549481,,,Ристово Меанче 2,,,,,,,22.85985,41.70396
497549483,,,Мрс,,,,,,,22.8571233,41.7045671
499932154,,,Дивине,,,,,,,22.9354984,41.7301724
521505926,,,Moneta,,,,,,,22.0187521,41.4389417
528996470,,,Сен Тропе,,,,,,,20.7819982,40.9615847
555008847,,fish,Нота,,,,,,,22.7242971,41.180711
555023959,,regional,Т'ГА ЗА ЈУГ,,,,,,,20.6762151,41.1769374
572366400,,,Bonaca,,,,,,,20.676795,41.1778398
577538782,,,Prince,,,,,,,21.4349372,42.0198926
600905655,,,Две капки,,,,,,,21.3926682,42.0028498
696669231,,,иВ,,,,,,,21.4368796,41.9869006
837180282,,,Арена,,,,,,,21.3533345,41.0364578
908273433,,regional,Туpиcт,,,,,,,21.4367576,42.0003099
911173351,,,Tropic,,,,,,,22.0333387,41.397022
911176033,,,Moskva,,,,,,,22.004638,41.4347168
1021423924,,,Maestro Cafe,,,,,,,20.9731075,42.0080851
1132688809,,international,River Side Garden,,,,+389 70 890 606,,,21.3274583,41.9953819
1371716593,,,Топаз,,,,,,,21.4122694,41.9979155
1372568001,,,Веки,,,,,,,21.3989291,42.000855
1377184494,,,Велково Меанче,,,,,,,21.4960141,42.0013936
1378130151,,,Чешма,,,,,,,21.4390455,41.9841333
1378228324,,,Ресторан Трпеза,,,,,,,21.4455687,41.9710708
1378228333,,,Ресторан Кум,,,,,,,21.4385091,41.9787578
1380378665,,burger;regional;breakfast;grill;mediterranean;balkan;chicken;kebab,Рустикана,Mo-Su 10:00-00:00,,wlan,+389 71 383 382,dinamic.ksk@gmail.com,,21.4078483,41.9997295
1380378702,,,Боеми,,,,,,,21.415982,41.9985008
1475328750,,regional,Restoran Tomi,,,,,,,21.3462963,42.0464013
1475388232,,regional,Meraklii,,,,,,,21.3508185,42.0299906
1506640739,,,Ѕидан Мост,,,,,,,21.4700306,41.591053
1535266560,,,Ресторан Рагуза 919,,,,,,,21.4820381,41.9782792
1577483516,,international,Старо Буре,,,,,,,21.3975417,42.0035286
1577485951,,regional,62,,,,,,,21.3741187,42.0065185
1596475596,,regional,Винска Куќа,,,,,,,22.0228438,41.4334495
1634933708,,,Снупи,,,,,,,21.7753509,41.7170862
1660208191,,,Аражок,,,,,,,21.3528594,41.036449
1660208193,,,Балукс,,,,,,,21.3539109,41.036449
1674866746,,,Јавор Џоко,,,,,,,22.5045562,41.1651121
1676857177,,fish,Рибен ресторан Рибар (Одисеја),,,,,,,21.4871492,41.9843967
1710571027,,,Снупи,,,,,,,21.7777592,41.7176653
1710571117,,,Официрски,,,,,,,21.7775232,41.7176332
1712601384,,,Сина Сала,,,,,,,21.7842383,41.7153245
1712601392,,,Розе Сала,,,,,,,21.7842139,41.7154688
1747649203,,,Крчма,,,,,,,21.4151525,41.9946274
1748017584,Скопје,regional,Marana,,,,,,,21.4204907,41.9904847
1751563134,Cкoпje,international,Pastel Wine & Dine,Mo-Fr 06:30-21:00; Sa 06:30-17:00; Su 06:30-16:00,http://pastel.mk/,wlan,+389 2 321 4447,,outside,21.4245254,41.9947645
1752178268,,italian,511,,,,,,,21.4163482,41.9922398
1752186795,,,Акорд,,,,,,,21.4086601,41.9972291
1768193993,,,Баба Цана,,,,,,,21.7204006,42.1365224
1770866402,,pizza,Пицерија Либертас,,,,+389 70 567 295,,,21.4207447,41.9987097
1776012307,,,Корнер,,,,,,,21.7318423,42.1235585
1790311348,,regional,Ресторан СОНЦЕ - Restaurant SONCE,,,,,,,22.819584,41.3811426
1791598024,,,Хотел Иштатов,,,wlan,,,,22.6991213,41.2271802
1794219941,,,Рим-Париз,,,,,,,21.7181577,42.1317263
1848409293,,,Ексклузив,,,,,,,21.4456487,41.9775109
1850489869,,,Ресторан „Александар“,,,,,,,21.4514149,42.0578588
1850521527,,,Дарвик,,,,,,,21.4523161,42.0537503
1857486052,,barbecue,Тица - Елени,,,,,,,21.4647397,42.0019716
1867176020,,international,Тренд,,,,,,,21.4304595,41.9957062
1868812117,Cкoпje,barbecue,Дестан,Mo-Su 09:00-23:00,https://destan.mk/pocetna/,,+389 2 312 7324,,separated,21.4204158,41.9987513
1868812169,,barbecue,Ана Кристи,,,,,,,21.3995909,42.0034064
1868933572,,macedonian,Фотка,,,,,,,21.3992299,42.0017742
1874196851,,regional,Осоговски Бисер,,,,,,,22.3532041,42.0371055
1911952177,,regional,Момина Чука,,,,,,,22.1994416,41.1775397
1911952203,,regional,Марково Бачило,,,,,,,22.2108324,41.1690988
1920228869,,fish,Park,,,,,,,22.1639057,42.1826707
1920229092,,fish,Гого Монд,,,,,,,22.0980414,42.1712493
1927095420,,,Piaza Liberta,,,,,,,22.1937687,41.7376171
1969643792,,fish,Извор,,,,,,,21.2205193,41.6150472
1985948203,,italian,Balila,,,,,,,21.416522,41.9922245
1999633538,,,Бифиња - Рамстор,,,,,,,21.4280088,41.9913688
1999950854,,grill;regional,Urban Grill,,,,,,,22.2452001,41.4084933
1999950860,,,Kaj Kole,,,,,,,22.2432474,41.4098411
1999950870,,pizza;regional,Lovec,,,,,,,22.2439153,41.4092999
1999950889,,,Queen Maria,,,,,,,22.2329754,41.4141902
2105387352,Скопје,,Бруклински,,,,+389 2 609 1844,,separated,21.4252581,42.0001581
2159535851,Cкoпje,international,Бела виста,"10:00-24:00; Fr-Sa 10:00-01:00",,,,,,21.4347685,41.9953199
2248576375,,,Стража,,,,,,,20.8544996,41.6714632
2292333295,,,Каспер,,,,,,,21.5546262,41.3459768
2292437665,,,Пинк Пантер,,,,,,,21.5543097,41.3453989
2292486455,,,Парадизо,,,,,,,21.5543797,41.3460137
2294320125,,,Два Елена,,,,,,,21.4080594,41.993167
2316032925,,,Македонска куќа,,,,,,,20.8016318,41.076418
2316119134,,,Капри,,,,,,,22.4104224,41.9176668
2316156248,,pizza,Pizza Metro,,,,,,,21.3356564,41.0295644
2316156279,,,Пицерија Лео,,,,,,,21.3368286,41.0256207
2320912360,,,Aquarium,,,,,,,22.4104385,41.9172558
2320912421,,,Balkanlux,,,,,,,22.4102588,41.918076
2320923929,,,Bakery Kamel,,,,,,,22.4101783,41.9187207
2322886873,,regional,Арабеска,,,,,,,21.4302915,41.9952825
2324290153,,macedonian,Ореов Лад,,,,,,,21.3323916,42.003391
2333163643,,regional,Кањон Матка,,,,,,,21.2993843,41.9502955
2334423406,,regional,Манастирска пештера,,,,,,,21.2961533,41.9610975
2357239839,,italian;pizza;regional,Gallery,,,,,,,20.9594822,41.5118075
2360748743,,,ТДЦ-3,,,,,,,22.5011779,41.146047
2377937978,,,Restoran Gros,,,,,,,20.8123651,41.1084477
2377938382,,,Ресторан Билјанини Извори,,,,,,,20.8148703,41.1028959
2387561655,,regional,Atva,,,,,,,20.9508952,41.5115542
2406002719,Струмица,regional,Вкус,,,,,,,22.6452777,41.4378354
2411306190,,,Јавор Агапи,,,,,,,22.4963093,41.1622759
2411329687,,fish,Фиш,,,,,,,21.4117168,42.0131608
2465901189,,regional,Loven Dom,,,,,,,22.6328921,41.4352537
2477123089,,regional,Етно Село,,,,,,,21.862568,42.1574944
2477129912,,fish,Fratelis,,,,,,,21.8645555,42.1324603
2535205987,,,Buki,,,,,,,22.0130335,41.4327641
2557554508,,,Идила,,,,,,,22.9422359,41.7297622
2574272022,Крива Паланка,regional,Борче,,,,,,,22.3059103,42.1902652
2574272026,Kriva Palanka,regional,Облаче,,,,,,,22.3089155,42.192289
2578029326,Крива Паланка,regional,македонија,,,,,,,22.3466279,42.2123127
2580192144,,,Градина,,,,,,,21.4727082,41.9650429
2759066732,,regional,Белведере,,,,,,outside,20.8011769,41.1123103
2818872887,Cкoпje,,Сокаче,08:00 - 00:00,,,,,,21.4145137,42.0051241
2835853871,Тетово,regional,Emka,,,,,,yes,20.958638,41.986155
2883877896,,,Every Day,,,,,,,21.4522729,41.9914536
2891531722,,,Шизик,,,,,,,22.5889401,42.0244107
2891533000,,regional,Osmica,,,,,,,22.587663,42.0179585
2891537201,,balkan;regional,"""Kaj Govedoto"" Restaurant",,,,,,isolated,22.5914449,42.0170338
2905985671,,regional;pizza;kebab;chicken,Shizik Restaurant,,,,,,outside,22.5886582,42.0178835
2905985814,,kebab;regional;barbecue,"""Koko"" Restaurant",,,,,,outside,22.5899229,42.0195336
2984088703,,,Prestol,07:00-21:00,http://www.hotelprestol.com,wlan,+389 46 277 858,,,20.8016787,41.0678423
2992064333,,,Granit,,http://www.hotelgranit.com.mk,wlan,+389 46 207 100,reservation@hotelgranit.com.mk,,20.8009009,41.0666434
3005348016,,,Meydan,,,,,,,20.8002909,41.116341
3020876346,,,Старо Буре,,,,,,,21.3236858,42.0597023
3085981445,,Spécialités_Locales,Dva Bisera,,,,,,,20.8031982,41.0459402
3100113750,Охрид,regional,Фopтунa,Mo-Su 07:00-24:00,,,,,outside,20.8026136,41.1140172
3101726040,Cкoпje,regional,Пивница АН,Mo-Sa 09:00-24:00; Su 12:00-24:00,http://pivnicaan.mk/,wlan,+389 02 321 2111,pivnicaan@yahoo.com,separated,21.4366005,42.0000179
3162746561,Radovis,italian,Target,,,,,,no,22.460188,41.639759
3162749461,Radovis,italian,Jocker pizza,,,wlan,,,no,22.460412,41.640957
3162751061,Radovis,italian,Getsbi pizza,,,,,,no,22.461378,41.640184
3162755761,Radovis,barbecue,Vrteska,,,no,,,no,22.465724,41.634656
3162763261,,barbecue,Gone,,,no,,,no,22.4648612,41.6332038
3162772765,,barbecue,Sopka,,,no,,,no,22.46449,41.633496
3162778861,,barbecue,Karagjoz,,,,,,no,22.462943,41.636566
3162791061,,barbecue,Magmar,,,,,,no,22.44631,41.629596
3162794862,,barbecue,Beverli hils,,,,,,no,22.461327,41.639065
3162794863,,barbecue,Shona,,,no,,,no,22.462186,41.639133
3162794961,,italian,Santa Maria pizza,,,,,,,22.456789,41.633895
3162795861,,regional,Makedonsko Sonce,,,no,,,no,22.463272,41.637611
3162796461,,barbecue,Lastik,,,,,,no,22.462199,41.63925
3187744351,,barbecue,Lipa,,,no,,,no,22.465528,41.637782
3187745933,,barbecue,Maslac,,,no,,,no,22.46306,41.638767
3341289789,Скопје,,Damaskino,,,,,,,21.4297981,41.9925716
3428427693,,italian,Pizzeria Americano,,,wlan,,,outside,20.800047,41.11542
3428428993,,,Cuna,,,,,,,20.800088,41.115966
3484100384,Скопје,,Dal Fufo - Galija,,,,,,,21.4231542,41.9917018
3505013893,Скопје,kebab,Destan,08:00-23:00,,,,,separated,21.4319604,41.9947506
3505013993,Скопје,italian,Ла Тераца,"08:00-24:00; Fr-Sa 08:00-01:00",,,+389 2 311 3380,,yes,21.4317257,41.9950911
3506695093,,italian,Brooklyn Lounge Bar,08:00-00:00; Fr-Sa 08:00-01:00,,,,,separated,21.3910004,42.0045421
3536179577,,,Носталгија,,,wlan,+389 2 306 0708,,,21.4099065,41.9953743
3647039848,,,Exclusive,,,,,,,21.733628,42.1208566
3647048030,,,Тераца,,,,,,,21.7448727,42.1214792
3648714485,Cкoпje,,Барбакан,08:00-01:00,,,,,,21.4063144,42.0062651
3664638120,,,Пилав Тепе,,,,,,,22.3171977,41.6245987
3671888433,,,Конак,,,,,,,20.8820185,42.0113442
3695356159,Делчево,regional,Ресторан Либеро,,,,,,outside,22.775975,41.9670002
3696549082,,,Антика,,,,,,,22.7727421,41.9665628
3696549083,Делчево,,Кај Бубето,,,,,,,22.7743723,41.9671309
3696549088,Делчево,pizza,Пицерија Палма,,,wlan,,,,22.7714652,41.9655104
3696549089,Делчево,pizza,Панорама,,,,,,,22.7756155,41.9667157
3696549091,,,Пицерија Iceberg,,,,,,,22.7729809,41.9663111
3696549092,,,Вигор,,,,,,,22.7732345,41.9664629
3699318356,,,Ресторан Трла,,,,,,,22.772658,41.9641901
3699318369,,,Gostilnica Zvon-Trejd,,,wlan,,,,22.7736839,41.963414
3707090923,,regional,Еснаф кај даре,,,,,,,21.4170693,41.997226
3751301960,,regional,Ресторан Бела,,,,,,,21.4591155,41.9191256
3784770415,,,ЈаворШпед,,,,,,,22.6153456,41.5162501
3786106943,,,Рибник,,,,,,,22.2451062,41.6337365
3822688281,,,Кај Чоме,,,,,,,21.2166228,41.5068787
3826400404,,,Ривиера,,,,,,,20.801555,41.1119481
3826400416,,,Ла Бела,,,,,,,20.8039749,41.1104511
3826400434,,,Royal View,,,,,,,20.8052329,41.109536
3830455732,,,Pizza Amica,,,,,,,21.4725098,41.9824716
3832475135,,,Лезет,,,,,,,21.4427246,41.9922973
3832475147,,,Кај Злате,,,,,,,21.4422139,41.9922032
3832555934,,,Меана Дедо Илија,,,,,,,21.2494143,41.545315
3909066219,,,бед бунар,,,,,,,21.4010837,42.0084895
3921774262,,italian,casa leone,,,,,,,20.8866832,42.0138371
3930911802,Tetovo,pizza,Restaurant Sirena,07:00- 24:00,,,+389 44 335 701,,isolated,20.9750309,42.0077518
3932033588,,pizza,Ribimiluss,,,,,,,21.4037096,42.0818924
3951819586,,regional,бимекс,9:00-24:00,,yes,,,no,21.4093282,41.9748528
4004645106,Cкoпje,chinese,Пекинг Гарден,Mo-Sa 11:00-24:00; Su 12:00-23:00,www.pekinggarden.mk,,+389 2 322 1173,reservation@pekinggarden.mk,,21.4301301,41.9957324
4016557277,Skopje,italian,Campione lounge Bar,Mo-Su 08:00-01:00,,,+389 70 250 261,,,21.4667276,41.9856123
4016557278,Skopje,french,DejaVu Lounge,Mo-Su 08:00-01:00,,,,,,21.4661426,41.9859376
4101107990,,,Makedonska sofra,Mo-Sa 08:00-01:00,,wlan,+389 78 929 010,,,21.4365756,41.9871974
4110147399,,balkan,Етно кујна Вила Елена,,,,,,,21.4448873,42.1382444
4126731965,,international,Sky ресторанот,,,,,,,21.434577,41.9973163
4149490289,Скопје,mexican,Amigos Мексиканска Кантина,"Mo-Th 08:00-24:00; Fr-Su 10:00-24:00",,,,,,21.4300742,41.9933026
4154573189,,burger;sandwich;breakfast;ice_cream;tea;cake;coffee_shop;pasta;pizza;diner,Era,Mo-Su 09:00-24:00,,wlan,,,,20.9614188,41.9995695
4154574089,,burger;sandwich;ice_cream;grill;cake;coffee_shop;pasta;greek;balkan;pancake;pizza;fish_and_chips;diner;italian_pizza;fish;hot_dog;breakfast;tea;italian,Restaurant Boss,24/7,,wlan,,,,20.961125,41.9976539
4190335990,,,Restaurant Oaza,,,,,,,20.9734955,41.8453568
4195733217,Cкoпje,international,Соул кичен,"Mo-Th 08:00-24:00; Fr, Su 10:00-24:00",,,,,,21.4338587,41.9955972
4239053639,,,Beta,,,,,,,21.4307185,42.0229923
4247199848,,sandwich;balkan;breakfast;pizza;kebab;local;pasta;coffee_shop;ice_cream,Classic Restaurant,Mo-Su 07:00-00:00,,wlan,,,,22.1911884,41.7375454
4252577296,,,Via Ignatia,,,,,,,20.5959852,41.2357204
4253086993,,,Dr. Falafel,"Mo-Sa 09:30-22:30; Su 16:00-23:00",,,+389 77 897 167,,,20.8011081,41.1166205
4253210327,,,Мулино Гарден,,,,,,,21.4212497,41.9495659
